title,year_published
"Roth, M.S. and N. Knowlton 2009. Distribution, abundance, and microhabitat characterization of small juvenile corals at Palmyra Atoll. Marine Ecology Progress Series 376:133-142. {PARC-0030}",2009
"Lafferty, K.D., S.A. Hathaway, A.S. Wegmann, F.S. Shipley, A.R. Backlin, J. Helm and R.N. Fisher 2010. Stomach nematodes (Mastophorus muris) in rats (Rattus rattus) are associated with coconut (Cocos nucifera) habitat at Palmyra Atoll. Journal of Parasitology 96(1):16-20. {PARC-0031}",2010
"McCauley, D.J., Y.P. Papastamatiou and H.S. Young 2010. An observation of mating in free-ranging blacktip reef sharks, Carcharhinus melanopterus. Pacific Science 64(2):349-352. {PARC-0032}",2010
"Papastamatiou Y, A.M. Friedlander, J.E. Caselle and C.G. Lowe 2010. Long term movement patterns and trophic ecology of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll. Journal of Experimental Marine Biology and Ecology 386:94-102 {PARC-0033}",2010
"Sandin, S.A., S.M. Walsh, J.B.C. Jackson 2010. Chapter 5: Prey release, trophic cascades, and phase shifts in tropical nearshore marine ecosystems. In: J. Terborgh and J.A. Estes (Eds) Trophic Cascades: Predators, Prey, and the Changing Dynamics of Nature, Island Press, pp. 71-90. {PARC-0034}",2010
"Wicks, L.C. 2010. Persistence of corals in marginal habitats: the role of the environment, and symbiont diversity and ecophysiology. Ph.D. Dissertation, Victoria University of Wellington, 220 pp. {PARC-0035}",2010
"Young, H.S. 2010. Cascading effects of a plant community shift across ecosystem boundaries. Ph.D. Dissertation, Stanford University, 137 pp. {PARC-0036}",2010
"Young, H.S., S.A. Shaffer, D.J. McCauley, D.G. Foley, R. Dirzo and B.A. Block 2010. Resource partitioning by species but not sex in sympatric boobies in the Central Pacific Ocean. Marine Ecology Progress Series 403:291-301. {PARC-0037}",2010
"Young, H.S., D.J. McCauley, R.B. Dunbar and R. Dirzo 2010. Plants cause ecosystem nutrient depletion via the interruption of bird-derived spatial subsidies. Proceedings of the National Academy of Sciences 107:2072-2077. {PARC-0038}",2010
"Baumann-Pickering, S., S.M. Wiggins, E. Roth, M.A. Roch, H.-U. Schnitzler and J.A. Hildebrand (in press). [PUBLISHED] 2010. Echolocation signals of a mesoplodont beaked whale at Palmyra Atoll. Journal of the Acoustical Society of America. 127(6): 3790-3799. {PARC-0039}",2010
"Knapp, I.S.S. and J.J. Bell 2010. Effect of depth on sponge assemblage structure at Palmyra Atoll, Central Pacific. The Open Marine Biology Journal 4:26-30 {PARC-0040}",2010
"Young, H.S., L. Hurrey, G. Kolb and W.B. Anderson 2011. Effects of seabird derived subsidies on aquatic ecosystems.  In: C.P. Mulder, W.B. Anderson, D. Towns, and P. Bellingham (Eds) Seabird Islands:  Ecology, Invasion and Restoration. Oxford University Press. {PARC-0041}",2011
"Kolb, G., H.S. Young, H. Jones, T. Fukami, J.L. Orrock, D. Towns and L. Yang 2011. Effects of seabirds on island consumers. In: C.P. Mulder, W.B. Anderson, D. Towns and P. Bellingham (Eds) Seabird Islands:  Ecology, Invasion and Restoration. Oxford University Press {PARC-0042}.",2010
"Mulder, C.P.H., H. Jones, K. Kameda, C. Palmborg, S. Schmidt, J. Ellis, J. L. Orrock, A. Wait, D. A. Wardle, L. Yang, H. Young, D. Croll, and E. Vidal 2011. Impacts of seabirds on plant and soil properties.  In: C.P. Mulder, W.B. Anderson, D. Towns, and P. Bellingham (Eds) Seabird Islands:  Ecology, Invasion and Restoration. Oxford University Press. {PARC-0043}",2011
"Williams, G.J., I.S. Knapp, J.E. Maragos and S.K. Davy 2010. Modeling patterns of coral bleaching at a remote Central Pacific atoll. Marine Pollution Bulletin 60:1467-1476. {PARC-0044}",2010
"Smriga, S., S.A. Sandin and F. Azam 2010. Coral reef fish feces and gut associated microbial assemblages. [NEW TITLE: Abundance, diversity, and activity of microbial assemblages associated with coral reef fish guts and feces]. Federation of European Microbiological Societies – FEMS Microbiology Ecology 73:31-42 {PARC-0045}",2010
"Friedlander, A.M., S.A. Sandin, E.E. DeMartini and E. Sala 2010. Spatial patterns of the structure of reef fish assemblages at a pristine atoll in the central Pacific. Marine Ecology Progress Series 410:219-231{PARC-0046}",2010
"Madin, E.M.P., S.D. Gaines and R.R. Warner 2010. Field evidence for pervasive indirect effects of fishing on prey foraging behavior. Ecology 91(12):3563-3571 {PARC-0047}",2010
"Houlbrèque, F., M. McCulloch, B. Roark, T. Guilderson, A. Meibom, J. Kimball, G. Mortimer, J.-P. Cuif and R. Dunbar 2010. Uranium-series dating and growth characteristics of the deep-sea scleractinian coral: Enallopsammia rostrata from the Equatorial Pacific. Geochimica et Cosmochimica Acta, 74:2380-2395 {PARC-0048}",2010
"Nurhati, I.S., K.M. Cobb, C.D. Charles and R. B. Dunbar 2009. Late 20th century warming and freshening in the central tropical Pacific. Geophysical Research Letters, 36, L21606, doi: 10.1029/2009GLO40270. {PARC-0049}",2009
"McCauley, D.J., F. Micheli, H.S. Young, D.P. Tittensor, D.R. Brumbaugh, E.M.P. Madin, K.E. Holmes, J.E. Smith, H.K. Lotze, P.A. de Salles, S.N. Arnold and B. Worm 2010. Acute effects of removing large fish from a near-pristine coral reef. Marine Biology 157:2739-2750. {PARC-0050}",2010
"Young, H.S., D.J. McCauley, R. Dirzo, R.B. Dunbar and S.A. Shaffer 2010. Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis. Marine Ecology Progress Series 416:285-294 {PARC-0051}",2010
"Young, H.S., T.K. Raab, D.J. McCauley, A. Briggs and R. Dirzo 2010. The coconut palm, Cocos nucifera, impacts forest composition and soil characteristics at Palmya Atoll, Central Pacific Ocean. Journal of Vegetation Science 21:1058-1068. {PARC-0052}",2010
"Tittensor, D.P., F. Micheli, M. Nystrom, and B. Worm 2007. Human impacts on the species-area relationship in reef fish assemblages. Ecology Letters 10: 760-772. {PARC-0053)",2007
"Hathaway, S.A. and R.N. Fisher 2010. Biosecurity Plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2010-1097 {PARC-0054}",2010
"Williams, G.J. 2010. Coral disease and the environment in the Pacific Ocean. Ph.D. Dissertation, School of Biological Sciences, Victoria University of Wellington, New Zealand {PARC-0055}",2010
"Collen, J.D., J.A. Baker , R.B. Dunbar, U. Rieser, J.P. Gardner, D.W. Garton and K.J. Christiansen 2011. The atmospheric lead record preserved in lagoon sediments at a remote equatorial Pacific location: Palmyra Atoll, northern Line Islands. Marine Pollution Bulletin 62:251-257 {PARC-0056}",2011
"Gardner J.P.A., D.W. Garton and J.D. Collen 2011. Near-surface mixing and pronounced deep-water stratification in a compartmentalized, human-disturbed atoll lagoon system. Coral Reefs 30:271-282 {PARC-0057}",2011
"Hathaway, S.A., K. McEachern and R.N. Fisher 2011. Terrestrial forest management plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2011-1007 {PARC-0058}",2011
"Maragos, J.E. and G.J. Williams 2011. Pacific Coral Reefs: An Introduction, In: D. Hopley (Ed.) Encyclopedia of Modern Coral Reefs: Structure, Form and Process. Springer-Verlag {PARC-0059}",2011
"Williams, G.J., I.S. Knapp, G.S. Aeby and S.K. Davy (2011) Spatial and temporal patterns of scleractinian coral, soft coral and zoanthid disease on a remote near-pristine coral reef. Diseases of Aquatic Organisms 94:89-100 {PARC-0060}",2011
