obs_id,year,wk,wk_avg_temp
197,1998,29,27.62142857142857
198,1998,29,27.62142857142857
199,1998,29,27.62142857142857
200,1998,29,27.62142857142857
201,1998,29,27.62142857142857
202,1998,29,27.62142857142857
203,1998,29,27.62142857142857
204,1998,30,27.535714285714285
205,1998,30,27.535714285714285
206,1998,30,27.535714285714285
207,1998,30,27.535714285714285
208,1998,30,27.535714285714285
209,1998,30,27.535714285714285
210,1998,30,27.535714285714285
211,1998,31,27.964285714285715
212,1998,31,27.964285714285715
213,1998,31,27.964285714285715
214,1998,31,27.964285714285715
215,1998,31,27.964285714285715
216,1998,31,27.964285714285715
217,1998,31,27.964285714285715
218,1998,32,28.32857142857143
219,1998,32,28.32857142857143
220,1998,32,28.32857142857143
221,1998,32,28.32857142857143
222,1998,32,28.32857142857143
223,1998,32,28.32857142857143
