iucn_sid,sciname,class,common,category
195741,Gymnothorax javanicus,actinopterygii,Giant Moray,LC
195754,Gymnothorax meleagris,actinopterygii,Painted Moray,LC
170342,Gymnosarda unicolor,actinopterygii,Dogtooth Tuna,LC
195803,Gymnothorax undulatus,actinopterygii,Undulated Moray,LC
187673,Halichoeres hortulanus,actinopterygii,Checkerboard wrasse,LC
187564,Halichoeres melasmapomus,actinopterygii,Ocellated wrasse,LC
187443,Halichoeres margaritaceus,actinopterygii,Pearl-spotted wrasse,LC
154904,Halichoeres ornatissimus,actinopterygii,Ornate Wrasse,LC
187474,Halichoeres trimaculatus,actinopterygii,Three-spot wrasse,LC
16749737,Heteropriacanthus cruentatus,actinopterygii,Glasseye Snapper,LC
187373,Hemigymnus fasciatus,actinopterygii,Barred thicklip wrasse,LC
"NA",Helcogramma striatum,actinopterygii,NA,NE
154788,Hemitaurichthys thompsoni,actinopterygii,Thompson's Butterflyfish,LC
190745,Hipposcarus longiceps,actinopterygii,Pacific Longnose Parrotfish,LC
8005,Eretmochelys imbricata,reptilia,Hawksbill Turtle,CR
187698,Hologymnosus annulatus,actinopterygii,Narrow-banded rainbowfish,LC
187527,Hologymnosus doliatus,actinopterygii,Narrow-banded wrasse,LC
"NA",Kuhlia sandvicensis,actinopterygii,Hawaiian flagtail,NE
46086162,Kyphosus cinerascens,actinopterygii,Blue Sea Chub,LC
"NA",Kyphosus pacificus,actinopterygii,Pacific drummer,NE
46086190,Kyphosus vaigiensis,actinopterygii,Brassy Chub,LC
187767,Labroides bicolor,actinopterygii,Two-colour cleaner wrasse,LC
187396,Labroides dimidiatus,actinopterygii,Blue-streak cleaner wrasse,LC
187575,Labroides pectoralis,actinopterygii,Gold barrier reef cleaner,LC
187755,Labroides rubrolabiatus,actinopterygii,Redlip cleaner wrasse,LC
187631,Labrichthys unilineatus,actinopterygii,Tube-mouth wrasse,LC
187497,Labropsis xanthonota,actinopterygii,Wedge-tailed wrasse,LC
16720328,Lethrinus olivaceus,actinopterygii,Longface Emperor,LC
"NA",Lepidozygus tapeinosoma,actinopterygii,Fusilier damselfish,NE
16720577,Lethrinus xanthochilus,actinopterygii,Yellowlip Emperor,LC
"NA",Liza vaigiensis,actinopterygii,NA,NE
194363,Lutjanus bohar,actinopterygii,Two-spot Red Snapper,LC
