year,sciname,cat,cat_txt,cat_score
2019,Galeocerdo cuvier,NT,Near Threatened,0.2
2020,Galeocerdo cuvier,NT,Near Threatened,0.2
2000,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2001,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2002,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2003,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2004,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2005,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2006,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2007,Globicephala macrorhynchus,CD,Lower Risk/conservation dependent,0.3
2018,Globicephala macrorhynchus,LC,Least Concern,0
2019,Globicephala macrorhynchus,LC,Least Concern,0
2020,Globicephala macrorhynchus,LC,Least Concern,0
2010,Gomphosus varius,LC,Least Concern,0
2011,Gomphosus varius,LC,Least Concern,0
2012,Gomphosus varius,LC,Least Concern,0
2013,Gomphosus varius,LC,Least Concern,0
2014,Gomphosus varius,LC,Least Concern,0
2015,Gomphosus varius,LC,Least Concern,0
2016,Gomphosus varius,LC,Least Concern,0
2017,Gomphosus varius,LC,Least Concern,0
2018,Gomphosus varius,LC,Least Concern,0
2019,Gomphosus varius,LC,Least Concern,0
2020,Gomphosus varius,LC,Least Concern,0
2008,Goniastrea pectinata,LC,Least Concern,0
2009,Goniastrea pectinata,LC,Least Concern,0
2010,Goniastrea pectinata,LC,Least Concern,0
2011,Goniastrea pectinata,LC,Least Concern,0
2012,Goniastrea pectinata,LC,Least Concern,0
2013,Goniastrea pectinata,LC,Least Concern,0
2014,Goniastrea pectinata,LC,Least Concern,0
2015,Goniastrea pectinata,LC,Least Concern,0
2016,Goniastrea pectinata,LC,Least Concern,0
2017,Goniastrea pectinata,LC,Least Concern,0
2018,Goniastrea pectinata,LC,Least Concern,0
2019,Goniastrea pectinata,LC,Least Concern,0
2020,Goniastrea pectinata,LC,Least Concern,0
2018,Gracila albomarginata,LC,Least Concern,0
2019,Gracila albomarginata,LC,Least Concern,0
2020,Gracila albomarginata,LC,Least Concern,0
2008,Grampus griseus,LC,Least Concern,0
2009,Grampus griseus,LC,Least Concern,0
2010,Grampus griseus,LC,Least Concern,0
2011,Grampus griseus,LC,Least Concern,0
2012,Grampus griseus,LC,Least Concern,0
2013,Grampus griseus,LC,Least Concern,0
2014,Grampus griseus,LC,Least Concern,0
2015,Grampus griseus,LC,Least Concern,0
2016,Grampus griseus,LC,Least Concern,0
2017,Grampus griseus,LC,Least Concern,0
2018,Grampus griseus,LC,Least Concern,0
2019,Grampus griseus,LC,Least Concern,0
2020,Grampus griseus,LC,Least Concern,0
2000,Gygis alba,LC,Lower Risk/least concern,0
2001,Gygis alba,LC,Lower Risk/least concern,0
2002,Gygis alba,LC,Lower Risk/least concern,0
2003,Gygis alba,LC,Lower Risk/least concern,0
2004,Gygis alba,LC,Least Concern,0
2005,Gygis alba,LC,Least Concern,0
2006,Gygis alba,LC,Least Concern,0
2007,Gygis alba,LC,Least Concern,0
2008,Gygis alba,LC,Least Concern,0
2009,Gygis alba,LC,Least Concern,0
2010,Gygis alba,LC,Least Concern,0
2011,Gygis alba,LC,Least Concern,0
2012,Gygis alba,LC,Least Concern,0
2013,Gygis alba,LC,Least Concern,0
2014,Gygis alba,LC,Least Concern,0
2015,Gygis alba,LC,Least Concern,0
2016,Gygis alba,LC,Least Concern,0
2017,Gygis alba,LC,Least Concern,0
2018,Gygis alba,LC,Least Concern,0
2019,Gygis alba,LC,Least Concern,0
2020,Gygis alba,LC,Least Concern,0
2010,Halichoeres claudia,LC,Least Concern,0
2011,Halichoeres claudia,LC,Least Concern,0
2012,Halichoeres claudia,LC,Least Concern,0
2013,Halichoeres claudia,LC,Least Concern,0
2014,Halichoeres claudia,LC,Least Concern,0
2015,Halichoeres claudia,LC,Least Concern,0
2016,Halichoeres claudia,LC,Least Concern,0
2017,Halichoeres claudia,LC,Least Concern,0
2018,Halichoeres claudia,LC,Least Concern,0
2019,Halichoeres claudia,LC,Least Concern,0
2020,Halichoeres claudia,LC,Least Concern,0
2010,Halichoeres hortulanus,LC,Least Concern,0
2011,Halichoeres hortulanus,LC,Least Concern,0
2012,Halichoeres hortulanus,LC,Least Concern,0
2013,Halichoeres hortulanus,LC,Least Concern,0
2014,Halichoeres hortulanus,LC,Least Concern,0
2015,Halichoeres hortulanus,LC,Least Concern,0
2016,Halichoeres hortulanus,LC,Least Concern,0
2017,Halichoeres hortulanus,LC,Least Concern,0
2018,Halichoeres hortulanus,LC,Least Concern,0
2019,Halichoeres hortulanus,LC,Least Concern,0
2020,Halichoeres hortulanus,LC,Least Concern,0
2010,Halichoeres margaritaceus,LC,Least Concern,0
2011,Halichoeres margaritaceus,LC,Least Concern,0
2012,Halichoeres margaritaceus,LC,Least Concern,0
2013,Halichoeres margaritaceus,LC,Least Concern,0
2014,Halichoeres margaritaceus,LC,Least Concern,0
2015,Halichoeres margaritaceus,LC,Least Concern,0
2016,Halichoeres margaritaceus,LC,Least Concern,0
2017,Halichoeres margaritaceus,LC,Least Concern,0
2018,Halichoeres margaritaceus,LC,Least Concern,0
2019,Halichoeres margaritaceus,LC,Least Concern,0
2020,Halichoeres margaritaceus,LC,Least Concern,0
2010,Halichoeres melasmapomus,LC,Least Concern,0
2011,Halichoeres melasmapomus,LC,Least Concern,0
2012,Halichoeres melasmapomus,LC,Least Concern,0
2013,Halichoeres melasmapomus,LC,Least Concern,0
2014,Halichoeres melasmapomus,LC,Least Concern,0
2015,Halichoeres melasmapomus,LC,Least Concern,0
2016,Halichoeres melasmapomus,LC,Least Concern,0
2017,Halichoeres melasmapomus,LC,Least Concern,0
2018,Halichoeres melasmapomus,LC,Least Concern,0
2019,Halichoeres melasmapomus,LC,Least Concern,0
2020,Halichoeres melasmapomus,LC,Least Concern,0
2010,Halichoeres pallidus,LC,Least Concern,0
2011,Halichoeres pallidus,LC,Least Concern,0
2012,Halichoeres pallidus,LC,Least Concern,0
2013,Halichoeres pallidus,LC,Least Concern,0
2014,Halichoeres pallidus,LC,Least Concern,0
2015,Halichoeres pallidus,LC,Least Concern,0
2016,Halichoeres pallidus,LC,Least Concern,0
2017,Halichoeres pallidus,LC,Least Concern,0
2018,Halichoeres pallidus,LC,Least Concern,0
2019,Halichoeres pallidus,LC,Least Concern,0
2020,Halichoeres pallidus,LC,Least Concern,0
2010,Halichoeres trimaculatus,LC,Least Concern,0
2011,Halichoeres trimaculatus,LC,Least Concern,0
2012,Halichoeres trimaculatus,LC,Least Concern,0
2013,Halichoeres trimaculatus,LC,Least Concern,0
2014,Halichoeres trimaculatus,LC,Least Concern,0
2015,Halichoeres trimaculatus,LC,Least Concern,0
2016,Halichoeres trimaculatus,LC,Least Concern,0
2017,Halichoeres trimaculatus,LC,Least Concern,0
2018,Halichoeres trimaculatus,LC,Least Concern,0
2019,Halichoeres trimaculatus,LC,Least Concern,0
2020,Halichoeres trimaculatus,LC,Least Concern,0
2010,Hemigymnus fasciatus,LC,Least Concern,0
2011,Hemigymnus fasciatus,LC,Least Concern,0
2012,Hemigymnus fasciatus,LC,Least Concern,0
2013,Hemigymnus fasciatus,LC,Least Concern,0
2014,Hemigymnus fasciatus,LC,Least Concern,0
2015,Hemigymnus fasciatus,LC,Least Concern,0
2016,Hemigymnus fasciatus,LC,Least Concern,0
2017,Hemigymnus fasciatus,LC,Least Concern,0
2018,Hemigymnus fasciatus,LC,Least Concern,0
2019,Hemigymnus fasciatus,LC,Least Concern,0
2020,Hemigymnus fasciatus,LC,Least Concern,0
2010,Hemitaurichthys polylepis,LC,Least Concern,0
2011,Hemitaurichthys polylepis,LC,Least Concern,0
2012,Hemitaurichthys polylepis,LC,Least Concern,0
2013,Hemitaurichthys polylepis,LC,Least Concern,0
2014,Hemitaurichthys polylepis,LC,Least Concern,0
2015,Hemitaurichthys polylepis,LC,Least Concern,0
2016,Hemitaurichthys polylepis,LC,Least Concern,0
2017,Hemitaurichthys polylepis,LC,Least Concern,0
2018,Hemitaurichthys polylepis,LC,Least Concern,0
2019,Hemitaurichthys polylepis,LC,Least Concern,0
2020,Hemitaurichthys polylepis,LC,Least Concern,0
2010,Hemitaurichthys thompsoni,LC,Least Concern,0
2011,Hemitaurichthys thompsoni,LC,Least Concern,0
2012,Hemitaurichthys thompsoni,LC,Least Concern,0
2013,Hemitaurichthys thompsoni,LC,Least Concern,0
2014,Hemitaurichthys thompsoni,LC,Least Concern,0
2015,Hemitaurichthys thompsoni,LC,Least Concern,0
2016,Hemitaurichthys thompsoni,LC,Least Concern,0
2017,Hemitaurichthys thompsoni,LC,Least Concern,0
2018,Hemitaurichthys thompsoni,LC,Least Concern,0
2019,Hemitaurichthys thompsoni,LC,Least Concern,0
2020,Hemitaurichthys thompsoni,LC,Least Concern,0
2010,Heniochus acuminatus,LC,Least Concern,0
2011,Heniochus acuminatus,LC,Least Concern,0
2012,Heniochus acuminatus,LC,Least Concern,0
2013,Heniochus acuminatus,LC,Least Concern,0
2014,Heniochus acuminatus,LC,Least Concern,0
2015,Heniochus acuminatus,LC,Least Concern,0
2016,Heniochus acuminatus,LC,Least Concern,0
2017,Heniochus acuminatus,LC,Least Concern,0
2018,Heniochus acuminatus,LC,Least Concern,0
2019,Heniochus acuminatus,LC,Least Concern,0
2020,Heniochus acuminatus,LC,Least Concern,0
2010,Hipposcarus longiceps,LC,Least Concern,0
2011,Hipposcarus longiceps,LC,Least Concern,0
2012,Hipposcarus longiceps,LC,Least Concern,0
2013,Hipposcarus longiceps,LC,Least Concern,0
2014,Hipposcarus longiceps,LC,Least Concern,0
2015,Hipposcarus longiceps,LC,Least Concern,0
2016,Hipposcarus longiceps,LC,Least Concern,0
2017,Hipposcarus longiceps,LC,Least Concern,0
2018,Hipposcarus longiceps,LC,Least Concern,0
2019,Hipposcarus longiceps,LC,Least Concern,0
2020,Hipposcarus longiceps,LC,Least Concern,0
2010,Hologymnosus doliatus,LC,Least Concern,0
2011,Hologymnosus doliatus,LC,Least Concern,0
2012,Hologymnosus doliatus,LC,Least Concern,0
2013,Hologymnosus doliatus,LC,Least Concern,0
2014,Hologymnosus doliatus,LC,Least Concern,0
2015,Hologymnosus doliatus,LC,Least Concern,0
2016,Hologymnosus doliatus,LC,Least Concern,0
2017,Hologymnosus doliatus,LC,Least Concern,0
2018,Hologymnosus doliatus,LC,Least Concern,0
2019,Hologymnosus doliatus,LC,Least Concern,0
2020,Hologymnosus doliatus,LC,Least Concern,0
2013,Holothuria atra,LC,Least Concern,0
2014,Holothuria atra,LC,Least Concern,0
2015,Holothuria atra,LC,Least Concern,0
2016,Holothuria atra,LC,Least Concern,0
2017,Holothuria atra,LC,Least Concern,0
2018,Holothuria atra,LC,Least Concern,0
2019,Holothuria atra,LC,Least Concern,0
2020,Holothuria atra,LC,Least Concern,0
2013,Holothuria difficilis,LC,Least Concern,0
2014,Holothuria difficilis,LC,Least Concern,0
2015,Holothuria difficilis,LC,Least Concern,0
2016,Holothuria difficilis,LC,Least Concern,0
2017,Holothuria difficilis,LC,Least Concern,0
2018,Holothuria difficilis,LC,Least Concern,0
2019,Holothuria difficilis,LC,Least Concern,0
2020,Holothuria difficilis,LC,Least Concern,0
2013,Holothuria erinaceaus,LC,Least Concern,0
2014,Holothuria erinaceaus,LC,Least Concern,0
2015,Holothuria erinaceaus,LC,Least Concern,0
2016,Holothuria erinaceaus,LC,Least Concern,0
2017,Holothuria erinaceaus,LC,Least Concern,0
2018,Holothuria erinaceaus,LC,Least Concern,0
2019,Holothuria erinaceaus,LC,Least Concern,0
2020,Holothuria erinaceaus,LC,Least Concern,0
2013,Holothuria flavomaculata,LC,Least Concern,0
2014,Holothuria flavomaculata,LC,Least Concern,0
2015,Holothuria flavomaculata,LC,Least Concern,0
2016,Holothuria flavomaculata,LC,Least Concern,0
2017,Holothuria flavomaculata,LC,Least Concern,0
2018,Holothuria flavomaculata,LC,Least Concern,0
2019,Holothuria flavomaculata,LC,Least Concern,0
2020,Holothuria flavomaculata,LC,Least Concern,0
2013,Holothuria fuscocinerea,LC,Least Concern,0
2014,Holothuria fuscocinerea,LC,Least Concern,0
2015,Holothuria fuscocinerea,LC,Least Concern,0
2016,Holothuria fuscocinerea,LC,Least Concern,0
2017,Holothuria fuscocinerea,LC,Least Concern,0
2018,Holothuria fuscocinerea,LC,Least Concern,0
2019,Holothuria fuscocinerea,LC,Least Concern,0
2020,Holothuria fuscocinerea,LC,Least Concern,0
2013,Holothuria fuscogilva,VU,Vulnerable,0.4
2014,Holothuria fuscogilva,VU,Vulnerable,0.4
2015,Holothuria fuscogilva,VU,Vulnerable,0.4
2016,Holothuria fuscogilva,VU,Vulnerable,0.4
2017,Holothuria fuscogilva,VU,Vulnerable,0.4
2018,Holothuria fuscogilva,VU,Vulnerable,0.4
2019,Holothuria fuscogilva,VU,Vulnerable,0.4
2020,Holothuria fuscogilva,VU,Vulnerable,0.4
2013,Holothuria hilla,LC,Least Concern,0
2014,Holothuria hilla,LC,Least Concern,0
2015,Holothuria hilla,LC,Least Concern,0
2016,Holothuria hilla,LC,Least Concern,0
2017,Holothuria hilla,LC,Least Concern,0
2018,Holothuria hilla,LC,Least Concern,0
2019,Holothuria hilla,LC,Least Concern,0
2020,Holothuria hilla,LC,Least Concern,0
2013,Holothuria inhabilis,LC,Least Concern,0
2014,Holothuria inhabilis,LC,Least Concern,0
2015,Holothuria inhabilis,LC,Least Concern,0
2016,Holothuria inhabilis,LC,Least Concern,0
2017,Holothuria inhabilis,LC,Least Concern,0
2018,Holothuria inhabilis,LC,Least Concern,0
2019,Holothuria inhabilis,LC,Least Concern,0
2020,Holothuria inhabilis,LC,Least Concern,0
2013,Holothuria leucospilota,LC,Least Concern,0
2014,Holothuria leucospilota,LC,Least Concern,0
2015,Holothuria leucospilota,LC,Least Concern,0
2016,Holothuria leucospilota,LC,Least Concern,0
2017,Holothuria leucospilota,LC,Least Concern,0
2018,Holothuria leucospilota,LC,Least Concern,0
2019,Holothuria leucospilota,LC,Least Concern,0
2020,Holothuria leucospilota,LC,Least Concern,0
2013,Holothuria pardalis,LC,Least Concern,0
2014,Holothuria pardalis,LC,Least Concern,0
2015,Holothuria pardalis,LC,Least Concern,0
2016,Holothuria pardalis,LC,Least Concern,0
2017,Holothuria pardalis,LC,Least Concern,0
2018,Holothuria pardalis,LC,Least Concern,0
2019,Holothuria pardalis,LC,Least Concern,0
2020,Holothuria pardalis,LC,Least Concern,0
2013,Holothuria pervicax,LC,Least Concern,0
2014,Holothuria pervicax,LC,Least Concern,0
2015,Holothuria pervicax,LC,Least Concern,0
2016,Holothuria pervicax,LC,Least Concern,0
2017,Holothuria pervicax,LC,Least Concern,0
2018,Holothuria pervicax,LC,Least Concern,0
2019,Holothuria pervicax,LC,Least Concern,0
2020,Holothuria pervicax,LC,Least Concern,0
2013,Holothuria rigida,LC,Least Concern,0
2014,Holothuria rigida,LC,Least Concern,0
2015,Holothuria rigida,LC,Least Concern,0
2016,Holothuria rigida,LC,Least Concern,0
2017,Holothuria rigida,LC,Least Concern,0
2018,Holothuria rigida,LC,Least Concern,0
2019,Holothuria rigida,LC,Least Concern,0
2020,Holothuria rigida,LC,Least Concern,0
2013,Holothuria verrucosa,LC,Least Concern,0
2014,Holothuria verrucosa,LC,Least Concern,0
2015,Holothuria verrucosa,LC,Least Concern,0
2016,Holothuria verrucosa,LC,Least Concern,0
2017,Holothuria verrucosa,LC,Least Concern,0
2018,Holothuria verrucosa,LC,Least Concern,0
2019,Holothuria verrucosa,LC,Least Concern,0
2020,Holothuria verrucosa,LC,Least Concern,0
2013,Holothuria whitmaei,EN,Endangered,0.6
2014,Holothuria whitmaei,EN,Endangered,0.6
2015,Holothuria whitmaei,EN,Endangered,0.6
2016,Holothuria whitmaei,EN,Endangered,0.6
2017,Holothuria whitmaei,EN,Endangered,0.6
2018,Holothuria whitmaei,EN,Endangered,0.6
2019,Holothuria whitmaei,EN,Endangered,0.6
2020,Holothuria whitmaei,EN,Endangered,0.6
2018,Hydrobates castro,LC,Least Concern,0
2019,Hydrobates castro,LC,Least Concern,0
2020,Hydrobates castro,LC,Least Concern,0
2018,Hydrobates leucorhous,VU,Vulnerable,0.4
2019,Hydrobates leucorhous,VU,Vulnerable,0.4
2020,Hydrobates leucorhous,VU,Vulnerable,0.4
2010,Hydrophis platurus,LC,Least Concern,0
2011,Hydrophis platurus,LC,Least Concern,0
2012,Hydrophis platurus,LC,Least Concern,0
2013,Hydrophis platurus,LC,Least Concern,0
2014,Hydrophis platurus,LC,Least Concern,0
2015,Hydrophis platurus,LC,Least Concern,0
2016,Hydrophis platurus,LC,Least Concern,0
2017,Hydrophis platurus,LC,Least Concern,0
2018,Hydrophis platurus,LC,Least Concern,0
2019,Hydrophis platurus,LC,Least Concern,0
2020,Hydrophis platurus,LC,Least Concern,0
2010,Iniistius pavo,LC,Least Concern,0
2011,Iniistius pavo,LC,Least Concern,0
2012,Iniistius pavo,LC,Least Concern,0
2013,Iniistius pavo,LC,Least Concern,0
2014,Iniistius pavo,LC,Least Concern,0
2015,Iniistius pavo,LC,Least Concern,0
2016,Iniistius pavo,LC,Least Concern,0
2017,Iniistius pavo,LC,Least Concern,0
2018,Iniistius pavo,LC,Least Concern,0
2019,Iniistius pavo,LC,Least Concern,0
2020,Iniistius pavo,LC,Least Concern,0
2014,Istiblennius edentulus,LC,Least Concern,0
2015,Istiblennius edentulus,LC,Least Concern,0
2016,Istiblennius edentulus,LC,Least Concern,0
2017,Istiblennius edentulus,LC,Least Concern,0
2018,Istiblennius edentulus,LC,Least Concern,0
2019,Istiblennius edentulus,LC,Least Concern,0
2020,Istiblennius edentulus,LC,Least Concern,0
2011,Istiophorus platypterus,LC,Least Concern,0
2012,Istiophorus platypterus,LC,Least Concern,0
2013,Istiophorus platypterus,LC,Least Concern,0
2014,Istiophorus platypterus,LC,Least Concern,0
2015,Istiophorus platypterus,LC,Least Concern,0
2016,Istiophorus platypterus,LC,Least Concern,0
2017,Istiophorus platypterus,LC,Least Concern,0
2018,Istiophorus platypterus,LC,Least Concern,0
2019,Istiophorus platypterus,LC,Least Concern,0
2020,Istiophorus platypterus,LC,Least Concern,0
2000,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2001,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2002,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2003,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2004,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2005,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2006,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2007,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2008,Isurus oxyrinchus,NT,Lower Risk/near threatened,0.2
2009,Isurus oxyrinchus,VU,Vulnerable,0.4
2010,Isurus oxyrinchus,VU,Vulnerable,0.4
2011,Isurus oxyrinchus,VU,Vulnerable,0.4
2012,Isurus oxyrinchus,VU,Vulnerable,0.4
2013,Isurus oxyrinchus,VU,Vulnerable,0.4
2014,Isurus oxyrinchus,VU,Vulnerable,0.4
2015,Isurus oxyrinchus,VU,Vulnerable,0.4
2016,Isurus oxyrinchus,VU,Vulnerable,0.4
2017,Isurus oxyrinchus,VU,Vulnerable,0.4
2018,Isurus oxyrinchus,VU,Vulnerable,0.4
2019,Isurus oxyrinchus,EN,Endangered,0.6
2020,Isurus oxyrinchus,EN,Endangered,0.6
2006,Isurus paucus,VU,Vulnerable,0.4
2007,Isurus paucus,VU,Vulnerable,0.4
2008,Isurus paucus,VU,Vulnerable,0.4
2009,Isurus paucus,VU,Vulnerable,0.4
2010,Isurus paucus,VU,Vulnerable,0.4
2011,Isurus paucus,VU,Vulnerable,0.4
2012,Isurus paucus,VU,Vulnerable,0.4
2013,Isurus paucus,VU,Vulnerable,0.4
2014,Isurus paucus,VU,Vulnerable,0.4
2015,Isurus paucus,VU,Vulnerable,0.4
2016,Isurus paucus,VU,Vulnerable,0.4
2017,Isurus paucus,VU,Vulnerable,0.4
2018,Isurus paucus,VU,Vulnerable,0.4
2019,Isurus paucus,EN,Endangered,0.6
2020,Isurus paucus,EN,Endangered,0.6
2011,Kajikia audax,NT,Near Threatened,0.2
2012,Kajikia audax,NT,Near Threatened,0.2
2013,Kajikia audax,NT,Near Threatened,0.2
2014,Kajikia audax,NT,Near Threatened,0.2
2015,Kajikia audax,NT,Near Threatened,0.2
2016,Kajikia audax,NT,Near Threatened,0.2
2017,Kajikia audax,NT,Near Threatened,0.2
2018,Kajikia audax,NT,Near Threatened,0.2
2019,Kajikia audax,NT,Near Threatened,0.2
2020,Kajikia audax,NT,Near Threatened,0.2
2011,Katsuwonus pelamis,LC,Least Concern,0
2012,Katsuwonus pelamis,LC,Least Concern,0
2013,Katsuwonus pelamis,LC,Least Concern,0
2014,Katsuwonus pelamis,LC,Least Concern,0
2015,Katsuwonus pelamis,LC,Least Concern,0
2016,Katsuwonus pelamis,LC,Least Concern,0
2017,Katsuwonus pelamis,LC,Least Concern,0
2018,Katsuwonus pelamis,LC,Least Concern,0
2019,Katsuwonus pelamis,LC,Least Concern,0
2020,Katsuwonus pelamis,LC,Least Concern,0
2000,Kogia breviceps,LC,Lower Risk/least concern,0
2001,Kogia breviceps,LC,Lower Risk/least concern,0
2002,Kogia breviceps,LC,Lower Risk/least concern,0
2003,Kogia breviceps,LC,Lower Risk/least concern,0
2004,Kogia breviceps,LC,Lower Risk/least concern,0
2005,Kogia breviceps,LC,Lower Risk/least concern,0
2006,Kogia breviceps,LC,Lower Risk/least concern,0
2007,Kogia breviceps,LC,Lower Risk/least concern,0
2000,Kogia sima,LC,Lower Risk/least concern,0
2001,Kogia sima,LC,Lower Risk/least concern,0
2002,Kogia sima,LC,Lower Risk/least concern,0
2003,Kogia sima,LC,Lower Risk/least concern,0
2004,Kogia sima,LC,Lower Risk/least concern,0
2005,Kogia sima,LC,Lower Risk/least concern,0
2006,Kogia sima,LC,Lower Risk/least concern,0
2007,Kogia sima,LC,Lower Risk/least concern,0
2013,Labidodemas semperianum,LC,Least Concern,0
2014,Labidodemas semperianum,LC,Least Concern,0
2015,Labidodemas semperianum,LC,Least Concern,0
2016,Labidodemas semperianum,LC,Least Concern,0
2017,Labidodemas semperianum,LC,Least Concern,0
2018,Labidodemas semperianum,LC,Least Concern,0
2019,Labidodemas semperianum,LC,Least Concern,0
2020,Labidodemas semperianum,LC,Least Concern,0
2010,Labrichthys unilineatus,LC,Least Concern,0
2011,Labrichthys unilineatus,LC,Least Concern,0
2012,Labrichthys unilineatus,LC,Least Concern,0
2013,Labrichthys unilineatus,LC,Least Concern,0
2014,Labrichthys unilineatus,LC,Least Concern,0
2015,Labrichthys unilineatus,LC,Least Concern,0
2016,Labrichthys unilineatus,LC,Least Concern,0
2017,Labrichthys unilineatus,LC,Least Concern,0
2018,Labrichthys unilineatus,LC,Least Concern,0
2019,Labrichthys unilineatus,LC,Least Concern,0
2020,Labrichthys unilineatus,LC,Least Concern,0
2010,Labroides bicolor,LC,Least Concern,0
2011,Labroides bicolor,LC,Least Concern,0
2012,Labroides bicolor,LC,Least Concern,0
2013,Labroides bicolor,LC,Least Concern,0
2014,Labroides bicolor,LC,Least Concern,0
2015,Labroides bicolor,LC,Least Concern,0
2016,Labroides bicolor,LC,Least Concern,0
2017,Labroides bicolor,LC,Least Concern,0
2018,Labroides bicolor,LC,Least Concern,0
2019,Labroides bicolor,LC,Least Concern,0
2020,Labroides bicolor,LC,Least Concern,0
2010,Labroides dimidiatus,LC,Least Concern,0
2011,Labroides dimidiatus,LC,Least Concern,0
2012,Labroides dimidiatus,LC,Least Concern,0
2013,Labroides dimidiatus,LC,Least Concern,0
2014,Labroides dimidiatus,LC,Least Concern,0
2015,Labroides dimidiatus,LC,Least Concern,0
2016,Labroides dimidiatus,LC,Least Concern,0
2017,Labroides dimidiatus,LC,Least Concern,0
2018,Labroides dimidiatus,LC,Least Concern,0
2019,Labroides dimidiatus,LC,Least Concern,0
2020,Labroides dimidiatus,LC,Least Concern,0
2010,Labroides pectoralis,LC,Least Concern,0
2011,Labroides pectoralis,LC,Least Concern,0
2012,Labroides pectoralis,LC,Least Concern,0
2013,Labroides pectoralis,LC,Least Concern,0
2014,Labroides pectoralis,LC,Least Concern,0
2015,Labroides pectoralis,LC,Least Concern,0
2016,Labroides pectoralis,LC,Least Concern,0
2017,Labroides pectoralis,LC,Least Concern,0
2018,Labroides pectoralis,LC,Least Concern,0
2019,Labroides pectoralis,LC,Least Concern,0
2020,Labroides pectoralis,LC,Least Concern,0
2010,Labroides rubrolabiatus,LC,Least Concern,0
2011,Labroides rubrolabiatus,LC,Least Concern,0
2012,Labroides rubrolabiatus,LC,Least Concern,0
2013,Labroides rubrolabiatus,LC,Least Concern,0
2014,Labroides rubrolabiatus,LC,Least Concern,0
2015,Labroides rubrolabiatus,LC,Least Concern,0
2016,Labroides rubrolabiatus,LC,Least Concern,0
2017,Labroides rubrolabiatus,LC,Least Concern,0
2018,Labroides rubrolabiatus,LC,Least Concern,0
2019,Labroides rubrolabiatus,LC,Least Concern,0
2020,Labroides rubrolabiatus,LC,Least Concern,0
2010,Labropsis xanthonota,LC,Least Concern,0
2011,Labropsis xanthonota,LC,Least Concern,0
2012,Labropsis xanthonota,LC,Least Concern,0
2013,Labropsis xanthonota,LC,Least Concern,0
2014,Labropsis xanthonota,LC,Least Concern,0
2015,Labropsis xanthonota,LC,Least Concern,0
2016,Labropsis xanthonota,LC,Least Concern,0
2017,Labropsis xanthonota,LC,Least Concern,0
2018,Labropsis xanthonota,LC,Least Concern,0
2019,Labropsis xanthonota,LC,Least Concern,0
2020,Labropsis xanthonota,LC,Least Concern,0
2008,Lagenodelphis hosei,LC,Least Concern,0
2009,Lagenodelphis hosei,LC,Least Concern,0
2010,Lagenodelphis hosei,LC,Least Concern,0
2011,Lagenodelphis hosei,LC,Least Concern,0
2012,Lagenodelphis hosei,LC,Least Concern,0
2013,Lagenodelphis hosei,LC,Least Concern,0
2014,Lagenodelphis hosei,LC,Least Concern,0
2015,Lagenodelphis hosei,LC,Least Concern,0
2016,Lagenodelphis hosei,LC,Least Concern,0
2017,Lagenodelphis hosei,LC,Least Concern,0
2018,Lagenodelphis hosei,LC,Least Concern,0
2019,Lagenodelphis hosei,LC,Least Concern,0
2020,Lagenodelphis hosei,LC,Least Concern,0
2014,Lagocephalus lagocephalus,LC,Least Concern,0
2015,Lagocephalus lagocephalus,LC,Least Concern,0
2016,Lagocephalus lagocephalus,LC,Least Concern,0
2017,Lagocephalus lagocephalus,LC,Least Concern,0
2018,Lagocephalus lagocephalus,LC,Least Concern,0
2019,Lagocephalus lagocephalus,LC,Least Concern,0
2020,Lagocephalus lagocephalus,LC,Least Concern,0
2014,Lagocephalus sceleratus,LC,Least Concern,0
2015,Lagocephalus sceleratus,LC,Least Concern,0
2016,Lagocephalus sceleratus,LC,Least Concern,0
2017,Lagocephalus sceleratus,LC,Least Concern,0
2018,Lagocephalus sceleratus,LC,Least Concern,0
2019,Lagocephalus sceleratus,LC,Least Concern,0
2020,Lagocephalus sceleratus,LC,Least Concern,0
2008,Leptastrea bewickensis,NT,Near Threatened,0.2
2009,Leptastrea bewickensis,NT,Near Threatened,0.2
2010,Leptastrea bewickensis,NT,Near Threatened,0.2
2011,Leptastrea bewickensis,NT,Near Threatened,0.2
2012,Leptastrea bewickensis,NT,Near Threatened,0.2
2013,Leptastrea bewickensis,NT,Near Threatened,0.2
2014,Leptastrea bewickensis,NT,Near Threatened,0.2
2015,Leptastrea bewickensis,NT,Near Threatened,0.2
