"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"108",192664,192664,"Conus episcopatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"109",192674,192674,"Conus sponsalis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"110",192694,192694,"Conus varius",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"111",192700,192700,"Conus eburneus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"112",192719,192719,"Conus litteratus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"113",192722,192722,"Conus glans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"114",192772,192772,"Conus geographus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"115",192778,192778,"Conus vexillum",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"116",192737,192737,"Conus canonicus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"117",192743,192743,"Conus tessulatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"118",192754,192754,"Conus coffeae",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"119",192789,192789,"Conus tulipa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"120",192793,192793,"Conus cylindraceus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"121",192844,192844,"Conus lividus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"122",192853,192853,"Conus virgo",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"123",192870,192870,"Conus arenatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"124",133646,133646,"Montipora verrucosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"125",133700,133700,"Montipora hoffmeisteri",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"126",133314,133314,"Montipora aequituberculata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"127",133066,133066,"Montipora informis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"128",133185,133185,"Montipora calcarea",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"129",133196,133196,"Montipora incrassata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"130",133252,133252,"Acropora tortuosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"131",133013,133013,"Acropora grandis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"132",133021,133021,"Acropora microphthalma",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"133",133319,133319,"Acropora horrida",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"134",133345,133345,"Montipora tuberculosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"135",133298,133298,"Montipora turgescens",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"136",133303,133303,"Acropora lutkeni",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"137",133438,133438,"Montipora foveolata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"138",133525,133525,"Montipora monasteriata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"139",133563,133563,"Montipora peltiformis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"140",133622,133622,"Montipora capitata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_1.dbf","< 200 m",TRUE
"141",133652,133652,"Leptastrea transversa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"142",133654,133654,"Favites chinensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"143",133569,133569,"Favia favus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"144",133593,133593,"Favia stelligera",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"145",133258,133258,"Plerogyra sinuosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"146",133440,133440,"Platygyra pini",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"147",133510,133510,"Favia lizardensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"148",132922,132922,"Montastrea curta",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"149",133161,133161,"Platygyra contorta",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"150",133414,133414,"Goniastrea pectinata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"151",133201,133201,"Fungia scutaria",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"152",133209,133209,"Favites pentagona",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"153",133278,133278,"Leptastrea pruinosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
"154",133055,133055,"Favites halicora",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CORALS_PART_2.dbf","< 200 m",TRUE
