iucn_sid,sciname,class,common,category
132817,Epinephelus fasciatus,actinopterygii,Blacktip Grouper,LC
132731,Epinephelus socialis,actinopterygii,Surge Grouper,LC
132732,Cephalopholis miniata,actinopterygii,Coral Hind,LC
132738,Variola louti,actinopterygii,Yellow-edged Lyretail,LC
132741,Cephalopholis sexmaculata,actinopterygii,Six-blotch Hind,LC
132829,Epinephelus howlandi,actinopterygii,Blacksaddle Grouper,LC
196018,Eptatretus carlhubbsi,myxini,Giant hagfish,LC
170063,Arctides regalis,malacostraca,Royal Spanish Lobster,LC
185023,Stereomastis surda,malacostraca,NA,LC
16564,Peponocephala electra,mammalia,Melon-headed Whale,LC
20738,Steno bredanensis,mammalia,Rough-toothed Dolphin,LC
11047,Kogia breviceps,mammalia,Pygmy Sperm Whale,DD
20731,Stenella coeruleoalba,mammalia,Striped Dolphin,LC
13246,Mesoplodon ginkgodens,mammalia,Ginkgo-toothed Beaked Whale,DD
23211,Ziphius cavirostris,mammalia,Cuvier's Beaked Whale,LC
15421,Orcinus orca,mammalia,Killer Whale,DD
41755,Physeter macrocephalus,mammalia,Sperm Whale,VU
40635,Indopacetus pacificus,mammalia,Indo-pacific Beaked Whale,DD
22563,Tursiops truncatus,mammalia,Common Bottlenose Dolphin,LC
2476,Balaenoptera edeni,mammalia,Bryde's Whale,LC
11048,Kogia sima,mammalia,Dwarf Sperm Whale,DD
13244,Mesoplodon densirostris,mammalia,Blainville's Beaked Whale,DD
20733,Stenella longirostris,mammalia,Spinner Dolphin,LC
9249,Globicephala macrorhynchus,mammalia,Short-finned Pilot Whale,LC
13006,Megaptera novaeangliae,mammalia,Humpback Whale,LC
127826787,Mesoplodon hotaula,mammalia,Deraniyagala's Beaked Whale,DD
2475,Balaenoptera borealis,mammalia,Sei Whale,EN
9461,Grampus griseus,mammalia,Risso's Dolphin,LC
2477,Balaenoptera musculus,mammalia,Blue Whale,EN
11140,Lagenodelphis hosei,mammalia,Fraser's Dolphin,LC
2474,Balaenoptera acutorostrata,mammalia,Common Minke Whale,LC
18596,Pseudorca crassidens,mammalia,False Killer Whale,NT
8551,Feresa attenuata,mammalia,Pygmy Killer Whale,LC
20729,Stenella attenuata,mammalia,Pantropical Spotted Dolphin,LC
190193,Sphoeroides pachygaster,actinopterygii,Blunthead Puffer,LC
193766,Canthigaster janthinoptera,actinopterygii,Honeycomb Toby,LC
193675,Canthigaster amboinensis,actinopterygii,Spider-eye Puffer,LC
193775,Canthigaster solandri,actinopterygii,Spotted Sharpnose,LC
190464,Lagocephalus lagocephalus,actinopterygii,Oceanic Puffer,LC
193804,Arothron nigropunctatus,actinopterygii,Blackspotted Puffer,LC
166947,Lagocephalus sceleratus,actinopterygii,Silver-cheeked Toadfish,LC
193656,Canthigaster bennetti,actinopterygii,Bennett's Sharpnose Puffer,LC
193699,Arothron hispidus,actinopterygii,White-spotted Puffer,LC
193662,Arothron meleagris,actinopterygii,Guineafowl Puffer,LC
8005,Eretmochelys imbricata,reptilia,Hawksbill Turtle,CR
46967817,Dermochelys coriacea,reptilia,Leatherback,CR
3897,Caretta caretta,reptilia,Loggerhead Turtle,VU
176738,Hydrophis platurus,reptilia,Yellow-bellied Sea Snake,LC
4615,Chelonia mydas,reptilia,Green Turtle,EN
180375,Holothuria leucospilota,holothuroidea,White Thread Fish,LC
200715,Holothuria fuscogilva,holothuroidea,NA,VU
180235,Holothuria hilla,holothuroidea,NA,LC
180367,Stichopus monotuberculatus,holothuroidea,NA,DD
180525,Holothuria pervicax,holothuroidea,NA,LC
180246,Holothuria difficilis,holothuroidea,NA,LC
180488,Stichopus horrens,holothuroidea,Selenka's Sea Cucumber,DD
180483,Holothuria flavomaculata,holothuroidea,NA,LC
180337,Actinopyga mauritiana,holothuroidea,Surf Redfish,VU
180534,Holothuria inhabilis,holothuroidea,NA,LC
180286,Holothuria pardalis,holothuroidea,NA,LC
180500,Holothuria discrepans,holothuroidea,NA,DD
180440,Holothuria whitmaei,holothuroidea,Black Teatfish,EN
180236,Holothuria olivacea,holothuroidea,NA,DD
180443,Holothuria rigida,holothuroidea,NA,LC
180512,Holothuria impatiens,holothuroidea,Bottleneck Sea Cucumber,DD
180494,Holothuria fuscocinerea,holothuroidea,NA,LC
180352,Bohadschia vitiensis,holothuroidea,Brown Sandfish,DD
180446,Holothuria stocki,holothuroidea,NA,DD
180248,Pearsonothuria graeffei,holothuroidea,Blackspotted Sea Cucumber,LC
180421,Holothuria atra,holothuroidea,Lollyfish,LC
180226,Holothuria erinaceaus,holothuroidea,NA,LC
180479,Labidodemas semperianum,holothuroidea,NA,LC
180231,Holothuria verrucosa,holothuroidea,NA,LC
180437,Holothuria arenicola,holothuroidea,NA,DD
177950,Naso lituratus,actinopterygii,Orange Spine Surgeonfish,LC
178017,Acanthurus nigricauda,actinopterygii,Blackstreak Surgeonfish,LC
177970,Naso unicornis,actinopterygii,Bluespine Unicornfish,LC
178001,Zebrasoma rostratum,actinopterygii,Longnose Tang,DD
177994,Acanthurus leucocheilus,actinopterygii,Palelipped Surgeonfish,LC
177990,Naso brevirostris,actinopterygii,Palefin Unicornfish,LC
178014,Ctenochaetus hawaiiensis,actinopterygii,Hawaiian Bristletooth,LC
177965,Acanthurus triostegus,actinopterygii,Convict Surgeonfish,LC
177989,Acanthurus xanthopterus,actinopterygii,Yellowfin Surgeonfish,LC
